Country Name,Country Code,Series Name,Series Code,1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Iceland,ISL,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,8.83331992629962,9.12655227983695,9.47556771833803,9.12408213318976,10.072290231894,9.68066743383199,9.88224647596945,9.88171504176566,10.1434896250067,10.3787091884001,10.8822598539943,10.7073407455763,10.8729294630813,10.5394056629844,10.6711391721695,11.1536560471939,11.9081073928686,12.0169922040572,11.7481708333202,11.2966829041986,11.3655071776899,11.4608171384095,10.5804768682839,10.9704819914454,9.4768348343514,9.69685497961561,9.34052693205111,8.81066554249882,8.38201946717677,8.49269837861054,8.48003811488391,8.34925829026897,8.5199194837855,..
India,IND,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2249.69790389274,2307.60714181108,2411.46273689083,2542.42211133345,2680.27888437082,2734.52089133672,2847.96234988663,3041.48258556057,3099.5028215766,3188.81024020636,3250.69565544917,3445.92592352395,3656.12620652098,3881.9661798273,4129.77837009239,4379.69604361151,4450.39022919238,4731.36160463896,5059.2827108398,5249.54925694026,5460.43768570052,5732.24189090876,6079.84393523695,6488.14602910787,6940.62588857522,7326.60693679859,7714.33974724531,7930.0911303899,7399.53068079041,8050.01857452664,8594.39190499879,9301.75603225735,9818.04270686639,..
India,IND,"Population, total",SP.POP.TOTL,902957070,922118387,941163767,960301044,979678458,999133762,1018665080,1038225823,1057922733,1077898575,1097600380,1116803006,1135991513,1154676322,1172878890,1190676021,1207930964,1225524753,1243481564,1261224954,1278674502,1295829511,1312277191,1328024498,1343944296,1359657400,1374659064,1389030312,1402617695,1414203896,1425423212,1438069596,1450935791,..
India,IND,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,669.6564,699.7472,743.8494,796.4452,833.4883,877.681,900.5955,961.5943,996.8909,1012.998,1051.0846,1083.014,1168.0565,1217.7273,1299.6787,1415.2655,1519.7704,1621.1797,1730.0542,1845.6437,2015.2876,2072.6256,2237.6647,2278.2296,2311.9771,2441.2015,2556.7189,2551.4851,2356.959,2597.9343,2807.0805,3014.5226,3153.8291,..
India,IND,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.741625955705735,0.758847464560969,0.790350655307367,0.829370336496271,0.850777408846526,0.878441939789039,0.884093818156602,0.926189927757172,0.942309744278839,0.939789720011458,0.957620477500199,0.969744882653011,1.02822643182898,1.05460489385527,1.10810989189174,1.18862350046436,1.25815998206335,1.32284533301467,1.39129863287623,1.46337391608571,1.57607553513255,1.59945855716817,1.70517686000076,1.71550269097521,1.7202923565219,1.79545339877531,1.85989309419052,1.83688223212799,1.68040016064392,1.83702951699406,1.96929618962877,2.09622858892568,2.17365173535787,..
Indonesia,IDN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,5357.3758979759,5609.15178814269,5931.23473426762,6312.93453561158,6695.40975787395,6897.00236563331,5897.68530859207,5855.65800744994,6056.38197842165,6190.51954040991,6381.94955179996,6599.09193597034,6843.54654972364,7140.8545640704,7434.48785352221,7802.46406905954,8165.06155116624,8435.4557468629,8848.22473702066,9274.96955181702,9708.61182531081,10121.8141535043,10504.3869411088,10893.6621142169,11319.6634287738,11772.5743296107,12262.2310300771,12757.7850854842,12388.5449268131,12757.0746440204,13334.2653947637,13889.9749067297,14470.4372020578,..
Indonesia,IDN,"Population, total",SP.POP.TOTL,190043744,193305168,196591828,199888057,203204348,206536095,209826788,213004668,216077790,219097902,222088495,225048008,227926649,230871650,233951652,237062337,240157903,243220028,246305322,249470032,252698525,255852467,258877399,261799249,264627418,267346658,269951846,272489381,274814866,276758053,278830529,281190067,283487931,..
Indonesia,IDN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,182.5524,199.8507,212.7475,239.099,252.0076,275.5207,278.2434,295.25,299.0702,319.562,324.9389,353.623,360.1513,362.597,383.4194,401.7934,397.2554,411.3491,443.682,499.9362,504.2572,474.9651,505.0762,512.3973,507.0965,535.7474,596.4692,637.5692,596.2839,622.6868,722.6996,772.5618,812.2042,..
Indonesia,IDN,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.960580949194518,1.03386113298326,1.08217875668769,1.1961645112194,1.24016834521671,1.33400750120699,1.32606233289908,1.38611985724181,1.38408579613851,1.45853518944239,1.46310550665851,1.57132250644049,1.58011931285841,1.57055662745946,1.63888306289882,1.69488500402322,1.6541425247205,1.69126327047376,1.80134962735397,2.00399300866727,1.9954892890649,1.85640226795234,1.95102470107868,1.95721455259026,1.91626591013332,2.00394276108737,2.20953925241911,2.33979466524606,2.16976580881181,2.24993200107532,2.5918955237502,2.74747187282401,2.86503978188758,..
"Iran, Islamic Rep.",IRN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,10727.4183671547,10531.9952777275,10333.4330005595,10465.0259592685,11010.0094976248,11025.7202371524,11101.507869196,11163.6950736445,11643.1218077696,11739.0090911282,12583.044990424,13519.4501926929,13807.1953114023,13935.7743087596,14320.6568534545,15237.4237850549,15091.2506521463,15055.1494647199,15729.9131707266,15947.766097961,15159.2948206531,14734.740588719,15262.8515760903,14841.9048340737,15920.3718021202,16167.9677224227,15364.8049052614,14841.0751514998,15381.5845437266,15884.4276775963,16377.9610645368,17044.8173461033,17484.1320140467,..
